Date,BTC,ETH,LTC,XRP
2018-05-26,9.507324059028422,20.80302524479753,17.580241550606186,22.039581391391415
2018-05-27,9.415370048110288,20.214933260696558,16.203071573716354,21.95338932458619
2018-05-28,9.724585209046856,25.268805290392706,17.23396332632856,25.75261722086541
2018-05-29,10.215432729822215,27.540678745624522,18.36135239363583,28.44641813147093
2018-05-30,10.033580045946046,27.541524144163862,17.905833795049936,28.205759429286104
2018-05-31,10.022740447366168,27.87022038181814,17.79303656855139,28.215727511595823
2018-06-01,9.590835914398129,27.209484630390158,16.68365730955166,26.669683863717317
2018-06-02,7.365979092309048,25.365771773900317,13.556699990153636,22.732458833935883
2018-06-03,7.397475879940933,26.44287310377082,13.127234110948484,24.988790118357883
2018-06-04,7.501425945995471,25.37643156446397,13.927759672817656,23.908877139456354
2018-06-05,7.596793528735798,25.511461335838316,13.932428154958215,24.17099450566892
2018-06-06,7.387894831430374,24.92424161250615,12.697793108333768,23.042367562514723
2018-06-07,7.237590936022216,24.928645385729137,12.674023836079643,22.825914478042055
2018-06-08,6.6483546144782,23.55873081400264,11.861396153139783,20.796693951068548
2018-06-09,6.564824133766223,23.16397359213227,11.919009950177825,20.726725644765697
2018-06-10,11.456440439114441,30.238555656435878,15.859837692110661,27.49081553715836
2018-06-11,10.957267676407929,29.902831655705654,15.445118628744758,27.10211916788389
2018-06-12,11.811178435945784,31.87217370583801,16.87462451807178,29.517405908465545
2018-06-13,11.222148226414504,29.182548768106212,18.04610982965074,28.997626333507654
2018-06-14,10.760114533947439,27.47189265446434,18.312783940386336,27.671235670060653
2018-06-15,11.2521649211464,27.946927565526416,19.06367396372296,27.067160852977405
2018-06-16,11.242435786530116,27.82871755984249,18.69875749096732,26.54681554122659
2018-06-17,11.13129542703259,27.829064033613847,18.74111358570835,26.54871736635862
2018-06-18,11.703846899684601,28.186446893130153,19.163112189795118,26.70173914044269
2018-06-19,11.222856153757087,23.45928041961439,17.59399823582638,22.36481939157627
2018-06-20,10.210139136614275,19.58086311558871,15.490153369824958,18.635442933398064
2018-06-21,10.214965114586443,19.689278351868964,15.444778894151154,18.683722061942625
2018-06-22,15.546907870872063,27.09288031854642,23.822795569724693,23.035652428788477
2018-06-23,15.564722847826852,27.10520664725595,23.898729739241215,22.909959281189742
2018-06-24,15.49934412318886,27.47208017311292,23.97691533473387,23.078597627810634
2018-06-25,15.60477324347002,26.369742491264848,23.824447556568995,20.97062427182631
2018-06-26,15.416022132508395,26.828486790249197,24.9414292897556,21.342761218741522
2018-06-27,15.339846512039987,27.07630643862943,26.177906763946737,21.501330173783142
2018-06-28,16.292253081129417,27.863843251830545,28.621095211044395,22.466026088700897
2018-06-29,17.51722124223977,28.13112757358997,29.81074213285459,22.611033018711684
2018-06-30,18.073275334599312,28.945100078097543,30.60458490400405,22.992359071457557
2018-07-01,17.957195748517332,28.927071864718517,30.63681638376947,22.700520253869083
2018-07-02,13.752824955936125,22.99151959449205,28.963197390966627,17.706031443828536
2018-07-03,13.835862179947958,23.207918792332844,28.965034591807044,17.50426924081381
2018-07-04,12.905241026883395,20.996132888838297,26.969739578272446,14.835966556939848
2018-07-05,12.198314713493943,20.23287751258004,24.702854744147714,14.01459544584889
2018-07-06,10.752626693687343,16.15541759184617,21.78927467532175,12.629417787200355
2018-07-07,10.48658608247279,15.493160562079566,20.905125066417742,11.805386015579332
2018-07-08,10.449665432659938,15.481298840397665,21.547818460760432,11.826696664448365
2018-07-09,10.489303757622212,15.85384589066976,21.610563769377737,11.943526237401443
2018-07-10,11.44282704344032,18.822215399151013,23.04022867957332,13.64807899827303
2018-07-11,11.44197325428115,18.324133462391266,23.469316618111677,13.4151835278023
2018-07-12,11.578105262113796,18.704450532556088,23.44569140897461,13.75154265027878
2018-07-13,11.578616376783906,18.568146297729502,23.460348794368315,13.668317310763166
2018-07-14,6.224489572054816,10.840115820102481,15.08052358863922,9.214365785613353
2018-07-15,6.299792057489722,11.637331102502499,15.054942049079926,9.229161432152937
2018-07-16,7.789030648048216,13.068515611246148,16.822470583560314,11.414622263888198
2018-07-17,11.099385606157778,13.848058783991503,18.524214446696575,12.749687287369744
2018-07-18,10.892414096332669,13.25448423534429,16.72795748353068,12.108442148029024
2018-07-19,10.889261975433978,13.383086682174792,15.344237843200272,11.975719239813817
2018-07-20,10.131241900850899,13.445181085109034,13.846759679391793,13.40541741019828
2018-07-21,8.90410689175541,13.464619195644277,12.756481652277808,13.353956713744243
2018-07-22,8.29470803539229,12.631721553872467,11.974728376154491,12.988366670833644
2018-07-23,9.074932369961699,12.737212869426662,11.738052426392693,12.987457008885821
2018-07-24,11.825396927854813,13.181058856966484,13.270688477602011,11.574334951364007
2018-07-25,11.969002353637563,13.035602485916455,13.59243324807983,11.511770449921212
2018-07-26,12.63195435792086,13.373223812032471,14.376422209943547,11.609525097653497
2018-07-27,12.979916730039138,13.466356349445844,14.394479873263505,11.366394160532172
2018-07-28,12.950211380331758,13.470194808571621,14.369185957053878,11.346751988130011
2018-07-29,12.713467060254754,13.095810139449329,13.981043083162234,11.215153135218971
2018-07-30,12.699751232527715,13.302032065006808,13.551357308603155,11.348821475335143
2018-07-31,14.19608389597442,14.429353904929776,14.24099304481938,11.461053443974755
2018-08-01,12.8703752805728,11.426468946707919,12.49294568563113,9.892866259137136
2018-08-02,12.887729502530137,11.496617720451892,12.176202039222117,10.48414313624422
2018-08-03,12.84666698877731,11.267937503779095,12.262037616556297,10.326029987439869
2018-08-04,14.198999157698688,11.425391024803682,13.89632151049834,10.532793080435965
